                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.97573,                0.84254,                0.98481,                0.88916,                0.75186,                0.81805,                0.55692,                0.87565,                0.64213,                 0.9384,               0.007261,               0.007261,               0.007261
                     85,                 0.9588,                0.81832,                0.98707,                0.89319,                0.73567,                 0.8243,                0.51999,                 1.1175,                0.71453,                 1.0248,               0.007228,               0.007228,               0.007228
                     86,                0.94561,                0.78068,                 1.0025,                0.87044,                0.74761,                0.86679,                 0.5954,                0.89042,                 0.6584,                0.94946,               0.007195,               0.007195,               0.007195
                     87,                0.98265,                0.81928,                 1.0029,                0.93216,                0.74023,                0.88513,                0.61096,                0.87131,                0.64394,                0.93429,               0.007162,               0.007162,               0.007162
                     88,                0.92257,                0.80359,                 1.0119,                0.90398,                0.74911,                0.91385,                0.62804,                0.89437,                0.68893,                 0.9373,               0.007129,               0.007129,               0.007129
                     89,                 0.9229,                0.81897,                0.97529,                0.86509,                0.69373,                0.85809,                0.54623,                 1.0178,                0.85914,                0.98252,               0.007096,               0.007096,               0.007096
                     90,                0.93824,                0.81426,                0.97681,                0.92655,                0.72002,                0.92618,                0.62272,                0.92368,                0.71056,                0.94776,               0.007063,               0.007063,               0.007063
                     91,                0.92258,                0.76109,                0.94689,                0.87019,                0.75593,                0.91137,                0.60727,                0.92708,                0.71829,                0.94665,                0.00703,                0.00703,                0.00703
                     92,                0.90144,                0.76137,                0.96387,                0.88565,                0.69676,                0.89382,                0.60345,                0.87628,                0.74939,                0.93419,               0.006997,               0.006997,               0.006997
                     93,                0.91326,                  0.816,                0.98197,                0.87633,                0.69656,                0.88419,                0.59267,                0.91434,                0.76262,                0.94821,               0.006964,               0.006964,               0.006964
                     94,                 0.9175,                0.81065,                0.98951,                0.90298,                0.74529,                 0.8953,                0.60794,                0.88538,                0.69417,                0.94134,               0.006931,               0.006931,               0.006931
                     95,                0.92482,                0.79167,                0.99096,                0.75677,                0.79064,                0.87875,                0.61217,                0.85577,                0.71542,                0.92164,               0.006898,               0.006898,               0.006898
                     96,                0.92147,                0.74238,                0.95923,                0.77705,                0.87104,                0.89115,                0.60813,                0.88401,                0.68901,                0.93985,               0.006865,               0.006865,               0.006865
                     97,                 0.9258,                 0.7562,                0.98715,                0.83282,                0.91986,                0.88962,                0.61486,                 0.8543,                0.65573,                0.92017,               0.006832,               0.006832,               0.006832
                     98,                0.90368,                0.76484,                0.96059,                0.79438,                0.89561,                0.87712,                 0.5917,                 0.8803,                0.70289,                0.93443,               0.006799,               0.006799,               0.006799
                     99,                0.88319,                0.81168,                0.97414,                0.79067,                0.81237,                0.87707,                0.58735,                0.86878,                0.72365,                0.93772,               0.006766,               0.006766,               0.006766
                    100,                0.88464,                0.78266,                0.98556,                 0.8794,                 0.7303,                0.86609,                0.58645,                0.87411,                 0.7632,                0.93851,               0.006733,               0.006733,               0.006733
                    101,                0.87337,                0.75809,                0.96537,                0.86099,                0.78751,                0.90196,                0.61481,                 0.8666,                0.71065,                0.93729,                 0.0067,                 0.0067,                 0.0067
                    102,                0.84454,                0.73024,                0.95064,                0.86425,                0.86042,                0.91953,                0.65018,                0.80774,                0.65241,                  0.912,               0.006667,               0.006667,               0.006667
                    103,                0.93682,                0.81625,                0.99552,                0.88788,                0.82287,                0.89701,                0.61158,                 0.9385,                0.64239,                0.94759,               0.006634,               0.006634,               0.006634
